Company Name,Category,Landmark,Building,Street,City,Country,Mobile,Mobile,Email,,,,,,,,,,,Company Name,Founded,Mobile,Phone,Website,Email,Views
Freesia For Computer,"
 | Computers |  ",,,AlSenaa St,Baghdad,Iraq,7400326910,7701251680,1- 7195172,faiq_a@yahoo.com,,,,,,,,,,Freesia For Computer,2015,7400326910,1- 7195172,www.brother.com,faiq_a@yahoo.com,79,,,
Friends for Computer Services,"
 | Computers |  ",,,Ankawa,Erbil,Iraq,7504638333,,,,,,,,,,,,,Friends for Computer Services,2015,7504638333,,,,100,,,
Future Net,"
 | Computers |  ",,,SulaymaniyahSmlim StBaghdad Senaa Stopposite to University ,Sulaymaniyah,Iraq,7701533034,7480194920,7901651686,,futurenets@yahoo.com,,,,,,,,,Future Net,2015,7701533034,,,futurenets@yahoo.com,86,,,
FaragePrinting Co,"
 | Computers |  ",,,100m St,Erbil,Iraq,7507598222, 66-2640605,ko@farage.com,,,,,,,,,,,FaragePrinting Co,2015,7507598222, 66-2640605,www.farage.com,ko@farage.com,100,,,
Gara,"
 | Computers |  ",,,Grebase,Duhok,Iraq,7504668058,62-7609855,mohammed_gara@yahoo.com,,,,,,,,,,,Gara,2015,7504668058,62-7609855,,mohammed_gara@yahoo.com,87,,,
Getty Echnologies,"
 | Computers |  ",,,Gulan St ,Erbil,Iraq,7507068868,7701325955,,talatg@gillygroup.com ,,,,,,,,,,Getty Echnologies,2015,7507068868,,www.gettytech.com,talatg@gillygroup.com ,91,,,
Ghassan,"
 | Computers |  ",,,Alsinaah St,Baghdad,Iraq,7901735958,7705384233,,,,,,,,,,,,Ghassan,2015,7901735958,,,,81,,,
Ghost For Computer Services,"
 | Computers |  ",,,Alsinaah St,Baghdad,Iraq,7901340893,7901560779,,ahmed_ghost1975@yahoo.com,theghost_107@yahoo.com,,,,,,,,,Ghost For Computer Services,2015,7901340893,,,ahmed_ghost1975@yahoo.com,84,,,
Global,"
 | Computers |  ",,,Alsinaah St,Baghdad,Iraq,7901324310,7713732093,,ali_nashir@yahoo.com,,,,,,,,,,Global,2015,7901324310,,www.globaliraq.com,ali_nashir@yahoo.com,78,,,
Glory for Computer,"
 | Computers |  ",,,iraq,Baghdad,Iraq,7911330116,7702554999,, rashwans21@yahoo.com,,,,,,,,,,Glory for Computer,2015,7911330116,,, rashwans21@yahoo.com,83,,,
Golden Age ,"
 | Computers |  ",,,Almansour,Baghdad,Iraq,7902483795,1-5418104,goldenage_iraq@yahoo.com,,,,,,,,,,,Golden Age ,2015,7902483795,1-5418104,,goldenage_iraq@yahoo.com,84,,,
Google Center,"
 | Computers |  ",,,iraq,Zakho,Iraq,7504592881,7507720711,7704118689,,google_center1@yahoo.com,,,,,,,,,Google Center,2015,7504592881,,,google_center1@yahoo.com,84,,,
Gulf ,"
 | Computers |  ",,,Almansour,Baghdad,Iraq,7706238945,7903243364,,hani_ms2001@yahoo.com ,,,,,,,,,,Gulf ,2015,7706238945,,,hani_ms2001@yahoo.com ,89,,,
GWadaq Computer Service Internet Provider,"
 | Computers |  ",,,52 St,Baghdad,Iraq,7702990908,7905990908,,aliwadq@yahoo.com,aliwadaq@hotmail.com,aliwadaq@gmail.com,,,,,,,,GWadaq Computer Service Internet Provider,2015,7702990908,,www.wadaq.net,aliwadq@yahoo.com,85,,,
Hasee,"
 | Computers |  ",,,iraq,Erbil,Iraq,7504917595,7504870047,7504550295,,greenhasee@yahoo.com ,,,,,,,,,Hasee,2015,7504917595,,www.green-iraq.com,greenhasee@yahoo.com ,96,,,
Havit,"
 | Computers |  ",,,AlSenaa St,Baghdad,Iraq,7714716900,7714716884,, ajiadhavit@yahoo.com,,,,,,,,,,Havit,2015,7714716900,,www.havit-europe.com, ajiadhavit@yahoo.com,81,,,
Help Tech ,"
 | Computers |  ",,,Almuzafaria St,Erbil,Iraq,7509051010,7509071010,,info@helptechco.com,,,,,,,,,,Help Tech ,2015,7509051010,,www.helptechco.com,info@helptechco.com,96,,,
High Max,"
 | Computers |  ",,,BenaslawaOpp to old exchange,Erbil,Iraq,7501570066,,highmax4computer@gmail.com,,,,,,,,,,,High Max,2015,7501570066,,www.highmax.net,highmax4computer@gmail.com,94,,,
High Spes,"
 | Computers |  ",,,Sultan Muzafria St,Erbil,Iraq,7504183068,66-2574845,salsddin@high-spec.com,,,,,,,,,,,High Spes,2015,7504183068,66-2574845,,salsddin@high-spec.com,90,,,
High Tech Company Computer ,"
 | Computers |  ",,,Almuzafaria st ,Erbil,Iraq,7501558877,7501558844,7501558811,,,,,,,,,,,High Tech Company Computer ,2015,7501558877,,www.hightechiraq.com,,104,,,
Hilal AlRafidain ,"
 | Computers |  ",,,iraq,Baghdad,Iraq,7901949898,7704443535,,ammar@halasat.com ,,,,,,,,,,Hilal AlRafidain ,2015,7901949898,,www.halasat.com,ammar@halasat.com ,84,,,
Hiwa Computer,"
 | Computers |  ",,,Smlim St,Sulaymaniyah,Iraq,7707772515,7710102828, 53-3204445,info@hiwacs.com,,,,,,,,,,Hiwa Computer,2015,7707772515, 53-3204445,,info@hiwacs.com,98,,,
Hussain Aljiboory,"
 | Computers |  ",,,Alsinaa St,Baghdad,Iraq,7901787706,7707961318,7811266519,,hussainaljobary@hotmail.com,hussainaljiboory@yahoo.com,,,,,,,,Hussain Aljiboory,2015,7901787706,,,hussainaljobary@hotmail.com,83,,,
I Erbil ,"
 | Computers |  ",,,iraq,Erbil,Iraq,7703515512,,info@ierbil.com,,,,,,,,,,,I Erbil ,2015,7703515512,,www.ierbil.com,info@ierbil.com,97,,,
IpNet Computer,"
 | Computers |  ",,,iraq,Baghdad,Iraq,7713414931,7809845116,,muneera@vsat-networks.com,,,,,,,,,,IpNet Computer,2015,7713414931,,,muneera@vsat-networks.com,81,,,
IT Masters ,"
 | Computers |  ",,,Senaa Street Opp Technology University,Baghdad,Iraq,7901392706,1-7195479, it_master52@yahoo.com,,,,,,,,,,,IT Masters ,2015,7901392706,1-7195479,, it_master52@yahoo.com,78,,,
Ibn AlArab,"
 | Computers |  ",,,iraq,Baghdad,Iraq,7901359771,,abnalaeab1@yahoo.com,,,,,,,,,,,Ibn AlArab,2015,7901359771,,,abnalaeab1@yahoo.com,79,,,
iCenter,"
 | Computers |  ",,,Alharthya,Baghdad,Iraq,7710000186,7902155625,,ali@icenter-iq.com,,,,,,,,,,iCenter,2015,7710000186,,www.icenter-iq.com,ali@icenter-iq.com,73,,,
Information Systems Computer,"
 | Computers |  ",,,Alsinaa St,Baghdad,Iraq,00964 7901725982,1- 7185000,1- 7195000,basil_dawod4@yahoo.com,,,,,,,,,,Information Systems Computer,2015,00964 7901725982,1- 7185000,,basil_dawod4@yahoo.com,83,,,
Intergrated Solutions Computers Co,"
 | Computers |  ",,,iraq,Baghdad,Iraq,7504579235,7605041120,7702275083, 66-2252811,nalchamani@intg-sols.com,,,,,,,,,Intergrated Solutions Computers Co,2015,7504579235, 66-2252811,,nalchamani@intg-sols.com,80,,,
Iraq Sat ,"
 | Computers |  ",,,AlMansour,Baghdad,Iraq,7901908343,,zainab@ssi-iraq.com ,,,,,,,,,,,Iraq Sat ,2015,7901908343,,,zainab@ssi-iraq.com ,80,,,
Itqan Center,"
 | Computers |  ",,,AlmansourOpp Resaurant Alsaa,Baghdad,Iraq,7704333227,7706232366,7901611021,,itqancenter@yahoo.com,,,,,,,,,Itqan Center,2015,7704333227,,,itqancenter@yahoo.com,81,,,
Iraq Tech ,"
 | Computers |  ",,,Senaa St ,Baghdad,Iraq,7901450686,,farkan1@yahoo.com ,,,,,,,,,,,Iraq Tech ,2015,7901450686,,,farkan1@yahoo.com ,79,,,
ITech ,"
 | Computers |  ",,,Smlim St,Sulaymaniyah,Iraq,7700780110,7508586100,7703313140,,,,,,,,,,,ITech ,2015,7700780110,,,,94,,,
Jad,"
 | Computers |  ",,,AlRabee St ,Baghdad,Iraq,7901477471,1-5212464,,,,,,,,,,,,Jad,2015,7901477471,1-5212464,,,79,,,
Jihan Office,"
 | Computers |  ",,,Beside To Manqal Restaurant,Duhok,Iraq,7504922032,62-7628506,,,,,,,,,,,,Jihan Office,2015,7504922032,62-7628506,,,93,,,
Jannat AlFarah Co ,"
 | Computers |  ",,,Senaa Street Opp Technology University,Baghdad,Iraq,7902639713,1-7175833,alfarahrabee@yahoo.com,,,,,,,,,,,Jannat AlFarah Co ,2015,7902639713,1-7175833,,alfarahrabee@yahoo.com,78,,,
Jannat Computers Trading Co,"
 | Computers |  ",,,Senaa Street Opp Technology University,Baghdad,Iraq,7802208900,1-7195020,1-7191464,jannattrade@yahoo.com,,,,,,,,,,Jannat Computers Trading Co,2015,7802208900,1-7195020,,jannattrade@yahoo.com,93,,,
JawharatAlBark Co ,"
 | Computers |  ",,,Hay alwahda,Baghdad,Iraq,7703505684,7901385089,7901772916,1-7196586,razys2003@yahoo.com,,,,,,,,,JawharatAlBark Co ,2015,7703505684,1-7196586,,razys2003@yahoo.com,81,,,
Karda Computer,"
 | Computers |  ",,,Almuzafaria St,Erbil,Iraq,7504546113,7504882951,,,,,,,,,,,,Karda Computer,2015,7504546113,,,,93,,,
King Home ,"
 | Computers |  ",,,AlSenaa St,Baghdad,Iraq,7712094010,,humam61@yahoo.com,,,,,,,,,,,King Home ,2015,7712094010,,,humam61@yahoo.com,75,,,
Kurdi 7 Office,"
 | Computers |  ",,,Shely St,Duhok,Iraq,7502786566,7502356364,,kurdi7.bureau@gmail.com,,,,,,,,,,Kurdi 7 Office,2015,7502786566,,,kurdi7.bureau@gmail.com,74,,,
Lana Co,"
 | Computers |  ",,,iraq,Baghdad,Iraq,7709777776,7714311467,,ali-abdalhyssen@yahoo.com,,,,,,,,,,Lana Co,2015,7709777776,,,ali-abdalhyssen@yahoo.com,73,,,
Laptop Of World Computer,"
 | Computers |  ",,,AlasharNear Police Station Alashar,Basra,Iraq,7803193536,7718735236,,,,,,,,,,,,Laptop Of World Computer,2015,7803193536,,,,91,,,
LG Baghdad Computer ,"
 | Computers |  ",,,Senaa Street Opp Technology University,Baghdad,Iraq,7901502370,7704397832,,mohammed_acom@hotmail.com,mohammed_acom@yahoo.com,,,,,,,,,LG Baghdad Computer ,2015,7901502370,,,mohammed_acom@hotmail.com,77,,,
Logic Innovation Co,"
 | Computers |  ",,,Italian Village,Erbil,Iraq,7503266288,,araskg@mail.ru,,,,,,,,,,,Logic Innovation Co,2015,7503266288,,,araskg@mail.ru,87,,,
Maekeront company,"
 | Computers |  ",,,Hay Albaladiya,Karbala,Iraq,7708787874,,waal_azher@yahoo.com,micronet-it@yahoo.com,,,,,,,,,,Maekeront company,2015,7708787874,,,waal_azher@yahoo.com,68,,,
Mafour Company,"
 | Computers |  ",,,Ainkwa St,Erbil,Iraq, 7504451627,7504155075,,,,,,,,,,,,Mafour Company,2015, 7504451627,,,,91,,,
MaghrtAlShuhb,"
 | Computers |  ",,,Senaa St opp of Technology Univ,Baghdad,Iraq,7901728931,7805784741,, maghrt-alshuhb@yahoo.com,,,,,,,,,,MaghrtAlShuhb,2015,7901728931,,, maghrt-alshuhb@yahoo.com,76,,,
Makok Computer,"
 | Computers |  ",,,Almuzafaria st,Erbil,Iraq,7501610979,7504759380,,,,,,,,,,,,Makok Computer,2015,7501610979,,,,98,,,
Makram Office,"
 | Computers |  ",,,Almuzafaria St,Erbil,Iraq,7504528852,7504728116, 662-238287,allattar_arbilli@yahoo.com,allattar_arbilli@hotmail.com,,,,,,,,,Makram Office,2015,7504528852, 662-238287,,allattar_arbilli@yahoo.com,86,,,
Mamnoon,"
 | Computers |  ",,,Almansour,Baghdad,Iraq,7901301395,1-5421738,mahmod_mamnoon@yahoo.com ,,,,,,,,,,,Mamnoon,2015,7901301395,1-5421738,www.almamnoon.com,mahmod_mamnoon@yahoo.com ,74,,,
Marwa Center Computer,"
 | Computers |  ",,,AlasharNear Alyarmook Hotel,Basra,Iraq,7702834444,7807666566,,qusay699@yahoo.com,,,,,,,,,,Marwa Center Computer,2015,7702834444,,,qusay699@yahoo.com,84,,,
Masa Iraq Co,"
 | Computers |  ",,,iraq,Baghdad,Iraq,7901908003, 1-7188952,,,,,,,,,,,,Masa Iraq Co,2015,7901908003, 1-7188952,www.masairaq.com,,74,,,
Matrix for Computer Service,"
 | Computers |  ",,,Senaa Street Opp Technology University,Baghdad,Iraq,7901375067,7808144097,,,,,,,,,,,,Matrix for Computer Service,2015,7901375067,,,,73,,,
MazenAlSaad Electronics,"
 | Computers |  ",,,Senaaopp of Technology Uninear Alelwyia Club,Baghdad,Iraq,7901790723,7901359265,1-7170094,1-7182551,ammarelectronics@yahoo.com,,,,,,,,,MazenAlSaad Electronics,2015,7901790723,1-7170094,,ammarelectronics@yahoo.com,78,,,
Mega Computer,"
 | Computers |  ",,,Alsinaa St,Baghdad,Iraq,7901359314,7702667700,1- 7180420,mega_rakeem@yahoo.com,alrakeem@eim.ae,,,,,,,,,Mega Computer,2015,7901359314,1- 7180420,,mega_rakeem@yahoo.com,84,,,
Metraco Computer,"
 | Computers |  ",,,Alsinaa St,Baghdad,Iraq,7706700239,7712532771,,h_gameel@metracomputer.com,Iraq2@metracomputer.com,,,,,,,,,Metraco Computer,2015,7706700239,,,h_gameel@metracomputer.com,82,,,
Modern International Computer ,"
 | Computers |  ",,,Alsinaa St,Baghdad,Iraq,7714716884,,modern.havit@yahoo.com,,,,,,,,,,,Modern International Computer ,2015,7714716884,,,modern.havit@yahoo.com,72,,,
Modern Technology Computers Co,"
 | Computers |  ",,,BaghdadAlmansoor StSenaa StNajafAlshather Co,Baghdad,Iraq,7813010256,7806697007,7805389916,,info@moderntech-iq.com,shather@moderntech-iq.com,,,,,,,,Modern Technology Computers Co,2015,7813010256,,www.moderntech-iq.com,info@moderntech-iq.com,74,,,
Mas for Computer,"
 | Computers |  ",,,RabeeStSafa building,Baghdad,Iraq,7901748047,1-5428405,mashayder@yahoo.com,,,,,,,,,,,Mas for Computer,2015,7901748047,1-5428405,,mashayder@yahoo.com,79,,,
Mohammad AlAmeen Center,"
 | Computers |  ",,,Senaa Street Opp Technology University,Baghdad,Iraq,1-7195796,1-7191029,mhyderml@hotmail.com,,,,,,,,,,,Mohammad AlAmeen Center,2015,,1-7195796,,mhyderml@hotmail.com,74,,,
Moons for Computer ,"
 | Computers |  ",,,Senaa Street Opp Technology University,Baghdad,Iraq,7901823729,7902518052,,,,,,,,,,,,Moons for Computer ,2015,7901823729,,,,74,,,
Morocco Center ,"
 | Computers |  ",,,Karada,Baghdad,Iraq,7901911745,7710581052,7901754522,,morobaghdad@yahoo.com ,,,,,,,,,Morocco Center ,2015,7901911745,,,morobaghdad@yahoo.com ,73,,,
Moubdi,"
 | Computers |  ",,,Senaa Street Opp Technology University,Baghdad,Iraq,7901365135,,mobdeawas70701@hotmail.com,mobdewas70@yahoo.com,,,,,,,,,,Moubdi,2015,7901365135,,,mobdeawas70701@hotmail.com,72,,,
Muuslh Computer,"
 | Computers |  ",,,Almuzafaria st,Erbil,Iraq,7504452851,7504472745,,s_muslh@yahoo.com,,,,,,,,,,Muuslh Computer,2015,7504452851,,,s_muslh@yahoo.com,95,,,
Najem Abdullah Computer,"
 | Computers |  ",,,Alsinaa St,Baghdad,Iraq,7901906912,1-  7187419,najem1968@yahoo.com,,,,,,,,,,,Najem Abdullah Computer,2015,7901906912,1-  7187419,,najem1968@yahoo.com,77,,,
NBS Co,"
 | Computers |  ",,,Sultan Muzafaria St,Erbil,Iraq,7504451862,66-2231489,66-2224651, tho_nbs@hotmail.com,,,,,,,,,,NBS Co,2015,7504451862,66-2231489,www.nbsoffice.com, tho_nbs@hotmail.com,82,,,
NCC Computer ,"
 | Computers |  ",,,BaghdadAlsinaa StNajafoppsite AsiaCell Co,Baghdad,Iraq,7901979395,7901809558,7804604360,,bahaacc@yahoo.com,,,,,,,,,NCC Computer ,2015,7901979395,,,bahaacc@yahoo.com,74,,,
Nedaekurdistan Computers Co,"
 | Computers |  ",,,iraq,Erbil,Iraq,7508354259,,manager@myzarin.com,,,,,,,,,,,Nedaekurdistan Computers Co,2015,7508354259,,www.myzarin.com,manager@myzarin.com,91,,,
Net Com Computer,"
 | Computers |  ",,,Smlim St,Sulaymaniyah,Iraq,7702462212,7701540381, 53-3205331,netcomcompany@yahoo.com,,,,,,,,,,Net Com Computer,2015,7702462212, 53-3205331,www.netcomcompany.com,netcomcompany@yahoo.com,83,,,
New Computer Center NCC,"
 | Computers |  ",,,Senaa St opp of Technology Univ,Baghdad,Iraq,7901809558,, nccsafaa@yahoo.com,,,,,,,,,,,New Computer Center NCC,2015,7901809558,,, nccsafaa@yahoo.com,71,,,
New Era,"
 | Computers |  ",,,Alsinaah St,Baghdad,Iraq,7905898385,1- 7175868,newera_office@yahoo.com,newera_isp@yahoo.com,,,,,,,,,,New Era,2015,7905898385,1- 7175868,,newera_office@yahoo.com,71,,,
New Generation ,"
 | Computers |  ",,,AlSenaa St ,Baghdad,Iraq,7700650050,,new.generation2009@yahoo.com ,,,,,,,,,,,New Generation ,2015,7700650050,,,new.generation2009@yahoo.com ,72,,,
New Star,"
 | Computers |  ",,,iraq,Baghdad,Iraq,7901777235,7703964140,,star_hp_star@yahoo.com,,,,,,,,,,New Star,2015,7901777235,,,star_hp_star@yahoo.com,70,,,
Noor Al Samaa,"
 | Computers |  ",,,AlSenaa St ,Baghdad,Iraq,7902791889,07905926649,,smartsystem35@yahoo.com ,,,,,,,,,,Noor Al Samaa,2015,7902791889,,,smartsystem35@yahoo.com ,73,,,
One touch Computer,"
 | Computers |  ",,,AlmansurAlchadrchi build,Baghdad,Iraq,7814100908,7506710576,7502158305,00964 5419407,Bilal_zeki@yahoo.com,abdo_alrawi@yahoo.com,,,,,,,,One touch Computer,2015,7814100908,00964 5419407,,Bilal_zeki@yahoo.com,76,,,
Orbit ,"
 | Computers |  ",,,BaghdadSenaa St opp of Technology Univ SulaymaniyahSmlim St,Baghdad,Iraq,7901562583,7903392601,7701527962,53-3209096,center_software@yahoo.com,computers_orbit@yahoo.com,,,,,,,,Orbit ,2015,7901562583,53-3209096,,center_software@yahoo.com,69,,,
Orbit Axis Computer ,"
 | Computers |  ",,,iraq,Baghdad,Iraq,7901414204,7700243400,7811763690,,drkamal@orbitaxis.com,Zaid.badir@orbitaxis.com,,,,,,,,Orbit Axis Computer ,2015,7901414204,,,drkamal@orbitaxis.com,73,,,
Orient Power Ltd,"
 | Computers |  ",,,AlSenaa St,Baghdad,Iraq,7901271770,1-7184932, falahnet10@yahoo.com,,,,,,,,,,,Orient Power Ltd,2015,7901271770,1-7184932,, falahnet10@yahoo.com,78,,,
PC House ,"
 | Computers |  ",,,Almuzafaria St,Erbil,Iraq,7703903390,7507131619,,pchouse_erbil@yahoo.com,Pchouse_erbil@hotmail.com,,,,,,,,,PC House ,2015,7703903390,,,pchouse_erbil@yahoo.com,90,,,
PC Shop,"
 | Computers |  ",,,Oppsite Govermment,Erbil,Iraq,7508707736,7505482948, 964 66-2235621,ariwan_9@hotmail.com,,,,,,,,,,PC Shop,2015,7508707736, 964 66-2235621,,ariwan_9@hotmail.com,85,,,
PC world Computer,"
 | Computers |  ",,,Havaalan St,Erbil,Iraq, 7503231167,7507538580,,pc-worid@live.com,,,,,,,,,,PC world Computer,2015, 7503231167,,,pc-worid@live.com,88,,,
Progress ,"
 | Computers |  ",,,Hay Alwahda Alsenaa St,Baghdad,Iraq,7901330070,1-7178527,1-7178515,Iraq_progress@hotmail.com ,,,,,,,,,,Progress ,2015,7901330070,1-7178527,,Iraq_progress@hotmail.com ,71,,,
Qartaj,"
 | Computers |  ",,,Senaa Street Opp Technology University,Baghdad,Iraq,7901342402,7702584873,1-7172891,carthagebu@yahoo.com,,,,,,,,,,Qartaj,2015,7901342402,1-7172891,,carthagebu@yahoo.com,71,,,
Qaseem,"
 | Computers |  ",,,Alsinaah St,Baghdad,Iraq,7704639758,,cqaseem@yahoo.com,,,,,,,,,,,Qaseem,2015,7704639758,,,cqaseem@yahoo.com,79,,,
Raad AlJubury,"
 | Computers |  ",,,Almutanaby St  AlSenaa St ,Baghdad,Iraq,1-7197060,,,,,,,,,,,,,Raad AlJubury,2015,,1-7197060,,,73,,,
Ras AlBar Co ,"
 | Computers |  ",,,Hay Alwahda,Baghdad,Iraq,7703927011,7709418916,7902978819,,sales@ras-albar.com ,,,,,,,,,Ras AlBar Co ,2015,7703927011,,,sales@ras-albar.com ,69,,,
Rashad Computer ,"
 | Computers |  ",,,Aras St,Erbil,Iraq,7504770936,00964  66-2544189,,,,,,,,,,,,Rashad Computer ,2015,7504770936,00964  66-2544189,,,94,,,
Rojman Co ,"
 | Computers |  ",,,Erbil RizgariMakhmoor St Zakho Ibrahem Khalil St ,Erbil,Iraq,7800000534,7504572734,7701528606,,manager@rojmancompany.com,,,,,,,,,Rojman Co ,2015,7800000534,,www.rojmancompany.com,manager@rojmancompany.com,83,,,
Rose,"
 | Computers |  ",,,AlMansour,Baghdad,Iraq, 7906604060,7901535862,,,,,,,,,,,,Rose,2015, 7906604060,,,,69,,,
Rozh,"
 | Computers |  ",,,Almuzafaria St,Erbil,Iraq,7504510336,00964 66-2233339,,,,,,,,,,,,Rozh,2015,7504510336,00964 66-2233339,,,85,,,
Saffin Co,"
 | Computers |  ",,,iraq,Baghdad,Iraq,7901316770,,,,,,,,,,,,,Saffin Co,2015,7901316770,,,,73,,,
Sahba Technology Group ,"
 | Computers |  ",,,iraq,Baghdad,Iraq,7901933606,7709261219,,ossama@sahbatechnology.com,,,,,,,,,,Sahba Technology Group ,2015,7901933606,,www.sahbatechnology.com,ossama@sahbatechnology.com,77,,,
Sana Computer,"
 | Computers |  ",,,Brayati St,Erbil,Iraq,7507750002,,,,,,,,,,,,,Sana Computer,2015,7507750002,,,,96,,,
Shade ,"
 | Computers |  ",,,Senaa St ,Baghdad,Iraq,7702918915,7901441638,1-7199456,hayder_shade@yahoo.com,,,,,,,,,,Shade ,2015,7702918915,1-7199456,,hayder_shade@yahoo.com,74,,,
Shams AlMaarifa Co,"
 | Computers |  ",,,iraq,Baghdad,Iraq,7704445989,7901234403,,sales@shams-almaarifa.net,,,,,,,,,,Shams AlMaarifa Co,2015,7704445989,,www.shams-almaarifa.net,sales@shams-almaarifa.net,74,,,
Sharq Aljazeera Co,"
 | Computers |  ",,,SenaaStmahala906sector 18house 22,Baghdad,Iraq,7808049999,7901111197,7901345269,1- 7178059-1-7178362,info@sharqaljazeera.com,,,,,,,,,Sharq Aljazeera Co,2015,7808049999,1- 7178059-1-7178362,www.shaeqaljazeera.com,info@sharqaljazeera.com,76,,,
Shopen Aram,"
 | Computers |  ",,,Mawlawi St,Sulaymaniyah,Iraq,7701561836,7703547373,,,,,,,,,,,,Shopen Aram,2015,7701561836,,,,84,,,
Shopen Aram,"
 | Computers |  ",,,Mawlawi St,Sulaymaniyah,Iraq,7701561836,7703547373,,,,,,,,,,,,Shopen Aram,2015,7701561836,,,,79,,,
Sidra Computer,"
 | Computers |  ",,,iraq,Erbil,Iraq,7504457604,7704457604,7504220000,,mhadisedir@yahoo.com,,,,,,,,,Sidra Computer,2015,7504457604,,,mhadisedir@yahoo.com,98,,,
Sinan for Computer Services ,"
 | Computers |  ",,,Senaa Street Opp Technology University,Baghdad,Iraq,7901534772,1-7196618,,,,,,,,,,,,Sinan for Computer Services ,2015,7901534772,1-7196618,,,78,,,
Sinatel Co Ltd Telecommunication  IT,"
 | Computers |  ",,,Almansour,Baghdad,Iraq,7705028228,,mohammed@sinatel.org,Jero792000@yahoo.com,,,,,,,,,,Sinatel Co Ltd Telecommunication  IT,2015,7705028228,,,mohammed@sinatel.org,81,,,
Slsabel Computer Shop,"
 | Computers |  ",,,Senaa St opp of Technology Univ,Baghdad,Iraq, 1-7170831,1-7176777,1-7181229,ihsan_slsabel@hotmail.com,ihsan_slsabel@yahoo.com,,,,,,,,,Slsabel Computer Shop,2015,, 1-7170831,,ihsan_slsabel@hotmail.com,75,,,
Smart Touch Computers,"
 | Computers |  ",,,AlSenaa St,Baghdad,Iraq,7901735755,7715407300,,o_stc@hotmail.com,,,,,,,,,,Smart Touch Computers,2015,7901735755,,,o_stc@hotmail.com,76,,,
Software office Computer,"
 | Computers |  ",,,AnkawaNear maxi mall,Erbil,Iraq,7706628881,,,,,,,,,,,,,Software office Computer,2015,7706628881,,,,97,,,
Soor Zuhal Computer,"
 | Computers |  ",,,Alsinaa St,Baghdad,Iraq,7902741159,,zuhalbag@yahoo.com,,,,,,,,,,,Soor Zuhal Computer,2015,7902741159,,www.soorzuhal.com,zuhalbag@yahoo.com,78,,,
Soran Computer,"
 | Computers |  ",,,Almuzafaria st,Erbil,Iraq,7504681124,7712884727,,soranbagdadi@yahoo.com,,,,,,,,,,Soran Computer,2015,7504681124,,,soranbagdadi@yahoo.com,96,,,
Stars Center ,"
 | Computers |  ",,,Almansour,Baghdad,Iraq,7702711977,1-5433490,,,,,,,,,,,,Stars Center ,2015,7702711977,1-5433490,,,72,,,
Sun Pc ,"
 | Computers |  ",,,Adamya,Baghdad,Iraq,7700203155,, haythem_aljanabi@yahoo.com,,,,,,,,,,,Sun Pc ,2015,7700203155,,, haythem_aljanabi@yahoo.com,74,,,
Saban Company,"
 | Computers |  ",,,Muzaffariye St,Erbil,Iraq,7706526611,7503604970,66-2222423,66-2226574, info@sabanltd.com,,,,,,,,,Saban Company,2015,7706526611,66-2222423,www.sabaltd.com, info@sabanltd.com,90,,,
Sun way Computer,"
 | Computers |  ",,,Alsinaa St,Baghdad,Iraq,7709777789,7901543303,,sunway-ah@yahoo.com,,,,,,,,,,Sun way Computer,2015,7709777789,,,sunway-ah@yahoo.com,76,,,
Smart Vision Company,"
 | Computers |  ",,,Hay Alwihda62 St,Baghdad,Iraq,7700555779,7400555779,7600251255,, info@smartvision-it.com,,,,,,,,,Smart Vision Company,2015,7700555779,,www.smartvision-it.com, info@smartvision-it.com,73,,,
Science City Center,"
 | Computers |  ",,,Santer St,Karbala,Iraq,7801338810,,,,,,,,,,,,,Science City Center,2015,7801338810,,,,68,,,
Ster Co,"
 | Computers |  ",,,iraq,Duhok,Iraq,7504457282,7504309999,,waysi@stercomputer.com,,,,,,,,,,Ster Co,2015,7504457282,,,waysi@stercomputer.com,86,,,
SHKAR ,"
 | Computers |  ",,,Smlim St,Sulaymaniyah,Iraq,7701541875,7501156678,53-3204070,shkarshow@yahoo.com,,,,,,,,,,SHKAR ,2015,7701541875,53-3204070,,shkarshow@yahoo.com,89,,,
Taj Company,"
 | Computers |  ",,,Mozafaria St,Erbil,Iraq,7504456455,7504665724,66-2229724,taj_erbil@yahoo.com,taj_erbil@hotmail.com,,,,,,,,,Taj Company,2015,7504456455,66-2229724,,taj_erbil@yahoo.com,96,,,
Taji Zewi Computer,"
 | Computers |  ",,,Salim St,Sulaymaniyah,Iraq,7701561000,7501561000,,,,,,,,,,,,Taji Zewi Computer,2015,7701561000,,,,84,,,
Team Bureau ,"
 | Computers |  ",,,Almansour,Baghdad,Iraq,1-5427050,seroor909@yahoo.com,,,,,,,,,,,,Team Bureau ,2015,,1-5427050,,seroor909@yahoo.com,77,,,
Techno Star,"
 | Computers |  ",,,Alaylwia,Baghdad,Iraq,7710999444,1-7197544,1-7178488,ahmed.mohsen@technostar.biz,brother.sales@technostar.biz,"brother.adv@technostar.biz """,,,,,,,,Techno Star,2015,7710999444,1-7197544,www.technostar.biz,ahmed.mohsen@technostar.biz,80,,,
Tiba Office,"
 | Computers |  ",,,iraq,Mosul,Iraq,7708261920,,,,,,,,,,,,,Tiba Office,2015,7708261920,,,,79,,,
